ID;invariantType;classification;GPT_verdict;confidence;promptTokens;completionTokens;totalTokens;maxNumberOfOperations
0;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;669;334;1003;10000
1;daikon.inv.unary.string.OneOfString;TP;TP;0.95;730;400;1130;10000
2;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.9;782;403;1185;10000
3;daikon.inv.unary.scalar.OneOfScalar;TP;TP;0.95;773;365;1138;10000
4;daikon.inv.binary.twoScalar.IntLessThan;FP;FP;0.8;813;520;1333;10000
5;daikon.inv.binary.twoScalar.IntLessThan;FP;FP;0.8;801;547;1348;10000
6;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;0.9;871;502;1373;10000
7;daikon.inv.unary.string.OneOfString;TP;TP;1.0;758;348;1106;10000
8;daikon.inv.unary.scalar.NonZero;TP;TP;0.9;656;397;1053;10000
9;daikon.inv.unary.scalar.NonZero;TP;FP;0.7;724;425;1149;10000
10;daikon.inv.unary.sequence.EltNonZero;TP;TP;0.95;734;390;1124;10000
11;daikon.inv.unary.string.OneOfString;TP;TP;0.95;716;418;1134;10000
12;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;741;428;1169;10000
13;daikon.inv.unary.sequence.EltNonZero;TP;TP;0.95;751;375;1126;10000
14;daikon.inv.unary.string.OneOfString;FP;TP;0.9;725;385;1110;50
15;daikon.inv.unary.scalar.LowerBound;TP;TP;0.95;707;343;1050;10000
16;daikon.inv.unary.scalar.OneOfScalar;FP;TP;0.9;771;403;1174;500
17;daikon.inv.unary.scalar.LowerBound;TP;TP;0.95;760;435;1195;10000
18;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.9;945;500;1445;100
19;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;0.9;781;555;1336;100
20;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;0.9;795;446;1241;100
21;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.95;961;461;1422;100
22;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.7;925;433;1358;1000
23;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;0.8;785;476;1261;100
24;daikon.inv.binary.sequenceString.MemberString;TP;TP;0.95;841;408;1249;10000
25;daikon.inv.binary.sequenceString.MemberString;FP;TP;0.95;751;419;1170;10000
26;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;0.95;899;399;1298;100
27;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.8;998;422;1420;50
28;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;0.8;989;490;1479;100
29;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.9;987;445;1432;500
30;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;0.8;993;515;1508;100
31;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;0.7;838;494;1332;1000
32;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.7;814;470;1284;100
33;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.8;832;487;1319;500
34;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.8;816;510;1326;1000
35;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.9;831;480;1311;100
36;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.95;745;493;1238;10000
37;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.95;731;391;1122;10000
38;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;832;416;1248;10000
39;daikon.inv.unary.sequence.EltNonZero;TP;TP;0.95;842;404;1246;10000
40;daikon.inv.unary.scalar.LowerBound;TP;TP;0.95;681;361;1042;10000
41;daikon.inv.unary.scalar.LowerBound;TP;TP;0.95;677;396;1073;10000
42;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;0.9;742;530;1272;50
43;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;0.95;735;554;1289;500
44;daikon.inv.binary.twoScalar.IntGreaterEqual;TP;TP;0.95;889;527;1416;10000
45;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;0.8;732;486;1218;50
46;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;0.95;723;491;1214;100
47;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;0.8;876;528;1404;100
48;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;0.8;734;489;1223;50
49;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;0.95;728;477;1205;100
50;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.8;783;514;1297;100
51;daikon.inv.binary.twoScalar.IntGreaterEqual;TP;TP;0.95;881;379;1260;10000
52;daikon.inv.binary.twoScalar.IntGreaterEqual;TP;TP;0.95;872;490;1362;10000
53;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;833;546;1379;10000
54;daikon.inv.unary.string.IsUrl;TP;TP;0.95;828;357;1185;10000
55;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;808;372;1180;10000
56;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;704;361;1065;10000
57;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;829;424;1253;10000
58;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;989;418;1407;10000
59;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;921;411;1332;10000
60;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;954;375;1329;10000
61;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.99;893;427;1320;10000
62;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;889;369;1258;10000
63;daikon.inv.unary.string.IsUrl;TP;TP;0.95;884;381;1265;10000
64;daikon.inv.unary.stringsequence.SequenceFixedLengthString;TP;TP;0.99;922;373;1295;10000
65;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;824;527;1351;10000
66;daikon.inv.unary.string.IsUrl;TP;TP;0.95;819;347;1166;10000
67;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;793;396;1189;10000
68;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;690;427;1117;10000
69;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;811;370;1181;10000
70;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;958;425;1383;10000
71;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;889;420;1309;10000
