ID;invariantType;classification;GPT_verdict;confidence;promptTokens;completionTokens;totalTokens;maxNumberOfOperations
0;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;669;329;998;10000
1;daikon.inv.unary.string.OneOfString;TP;TP;0.95;730;304;1034;10000
2;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.85;782;428;1210;10000
3;daikon.inv.unary.scalar.OneOfScalar;TP;FP;0.8;773;372;1145;10000
4;daikon.inv.binary.twoScalar.IntLessThan;FP;FP;0.7;813;507;1320;10000
5;daikon.inv.binary.twoScalar.IntLessThan;FP;FP;0.85;801;465;1266;10000
6;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;0.9;862;446;1308;10000
7;daikon.inv.unary.string.OneOfString;TP;TP;0.95;758;312;1070;10000
8;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;656;269;925;10000
9;daikon.inv.unary.scalar.NonZero;TP;FP;0.9;724;302;1026;10000
10;daikon.inv.unary.sequence.EltNonZero;TP;FP;0.85;734;351;1085;10000
11;daikon.inv.unary.string.OneOfString;TP;TP;0.95;716;328;1044;10000
12;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;741;324;1065;10000
13;daikon.inv.unary.sequence.EltNonZero;TP;TP;0.95;751;358;1109;10000
14;daikon.inv.unary.string.OneOfString;FP;FP;0.75;725;340;1065;50
15;daikon.inv.unary.scalar.LowerBound;TP;TP;0.9;707;408;1115;10000
16;daikon.inv.unary.scalar.OneOfScalar;FP;FP;0.95;771;422;1193;500
17;daikon.inv.unary.scalar.LowerBound;TP;FP;0.85;760;403;1163;10000
18;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;0.85;969;542;1511;100
19;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;0.85;781;533;1314;100
20;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;0.9;795;480;1275;100
21;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.85;977;572;1549;100
22;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.75;959;548;1507;1000
23;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;0.85;785;477;1262;100
24;daikon.inv.binary.sequenceString.MemberString;TP;TP;0.95;836;388;1224;10000
25;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.85;751;436;1187;10000
26;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.9;887;457;1344;100
27;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.8;998;533;1531;50
28;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;0.7;1025;509;1534;100
29;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.7;931;456;1387;500
30;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;0.7;1029;500;1529;100
31;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;0.85;838;532;1370;1000
32;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.75;814;456;1270;100
33;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.85;832;418;1250;500
34;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.85;816;478;1294;1000
35;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.85;831;460;1291;100
36;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.95;745;348;1093;10000
37;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.85;731;365;1096;10000
38;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;832;332;1164;10000
39;daikon.inv.unary.sequence.EltNonZero;TP;TP;0.95;842;344;1186;10000
40;daikon.inv.unary.scalar.LowerBound;TP;TP;0.95;681;296;977;10000
41;daikon.inv.unary.scalar.LowerBound;TP;TP;0.95;678;280;958;10000
42;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;0.7;742;521;1263;50
43;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.7;735;490;1225;500
44;daikon.inv.binary.twoScalar.IntGreaterEqual;TP;TP;0.95;889;340;1229;10000
45;daikon.inv.binary.twoScalar.IntLessEqual;FP;TP;0.95;732;356;1088;50
46;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.85;723;432;1155;100
47;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.85;876;560;1436;100
48;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.9;734;364;1098;50
49;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.85;727;466;1193;100
50;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;0.9;768;494;1262;100
51;daikon.inv.binary.twoScalar.IntGreaterEqual;TP;TP;0.95;881;334;1215;10000
52;daikon.inv.binary.twoScalar.IntGreaterEqual;TP;TP;0.95;872;346;1218;10000
53;daikon.inv.unary.string.FixedLengthString;TP;FP;0.95;836;534;1370;10000
54;daikon.inv.unary.string.IsUrl;TP;TP;0.95;831;358;1189;10000
55;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;807;316;1123;10000
56;daikon.inv.unary.string.FixedLengthString;TP;FP;0.85;704;440;1144;10000
57;daikon.inv.unary.string.FixedLengthString;TP;FP;0.95;834;531;1365;10000
58;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;1009;622;1631;10000
59;daikon.inv.binary.twoString.StdString$SubString;TP;FP;0.95;923;562;1485;10000
60;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;960;386;1346;10000
61;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;888;444;1332;10000
62;daikon.inv.unary.string.FixedLengthString;TP;FP;0.85;889;435;1324;10000
63;daikon.inv.unary.string.IsUrl;TP;TP;0.95;884;337;1221;10000
64;daikon.inv.unary.stringsequence.SequenceFixedLengthString;TP;TP;0.95;992;339;1331;10000
65;daikon.inv.unary.string.FixedLengthString;TP;FP;0.95;820;604;1424;10000
66;daikon.inv.unary.string.IsUrl;TP;TP;0.95;815;317;1132;10000
67;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;784;320;1104;10000
68;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;690;364;1054;10000
69;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;808;514;1322;10000
70;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;956;373;1329;10000
71;daikon.inv.binary.twoString.StdString$SubString;TP;FP;0.95;892;429;1321;10000
72;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;929;378;1307;10000
73;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;858;402;1260;10000
74;daikon.inv.unary.string.IsUrl;TP;TP;0.95;915;352;1267;10000
75;daikon.inv.unary.string.IsUrl;TP;FP;0.9;924;398;1322;10000
76;daikon.inv.unary.string.IsUrl;TP;TP;0.95;895;325;1220;10000
77;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;1055;364;1419;10000
78;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;1023;335;1358;10000
79;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;1040;325;1365;10000
80;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;994;330;1324;10000
81;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.95;997;378;1375;10000
82;daikon.inv.binary.twoString.StdString$SubString;TP;TP;0.85;988;387;1375;10000
83;daikon.inv.unary.string.OneOfString;TP;TP;0.95;738;318;1056;10000
84;daikon.inv.unary.scalar.OneOfScalar;FP;FP;0.9;831;408;1239;10000
85;daikon.inv.unary.scalar.LowerBound;TP;TP;0.95;977;359;1336;10000
86;daikon.inv.unary.scalar.LowerBound;TP;TP;0.95;683;327;1010;10000
