ID;invariantType;classification;GPT_verdict;confidence;promptTokens;completionTokens;totalTokens;maxNumberOfOperations
0;daikon.inv.unary.scalar.NonZero;TP;TP;0.9;630;224;854;10000
1;daikon.inv.unary.sequence.EltNonZero;TP;TP;0.95;640;251;891;10000
2;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;613;219;832;10000
3;daikon.inv.unary.scalar.NonZeroFloat;FP;TP;0.95;714;235;949;10000
4;daikon.inv.unary.scalar.NonZeroFloat;FP;TP;0.95;708;173;881;10000
5;daikon.inv.unary.scalar.OneOfScalar;FP;TP;0.9;674;228;902;100
6;daikon.inv.unary.scalar.LowerBound;FP;TP;0.95;687;240;927;10000
7;daikon.inv.unary.scalar.NonZero;TP;TP;0.9;621;235;856;10000
8;daikon.inv.unary.stringsequence.EltOneOfString;TP;TP;0.9;749;252;1001;10000
9;daikon.inv.unary.scalar.NonZero;TP;TP;0.9;613;247;860;10000
10;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;635;256;891;10000
11;daikon.inv.unary.scalar.LowerBound;FP;TP;0.95;858;257;1115;100
12;daikon.inv.unary.scalar.LowerBound;FP;TP;0.9;781;235;1016;50
13;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;0.95;736;246;982;100
14;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;0.9;876;286;1162;10000
15;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;0.9;742;238;980;10000
16;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;0.95;854;285;1139;10000
17;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.95;871;254;1125;50
18;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.9;747;210;957;500
19;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;0.9;739;274;1013;100
20;daikon.inv.binary.twoScalar.FloatNonEqual;FP;TP;0.95;786;220;1006;10000
21;daikon.inv.binary.twoScalar.FloatLessThan;FP;TP;0.9;781;207;988;50
22;daikon.inv.binary.twoScalar.FloatNonEqual;FP;TP;0.95;766;206;972;10000
23;daikon.inv.binary.twoScalar.FloatLessThan;FP;TP;0.9;786;217;1003;50
24;daikon.inv.binary.twoScalar.FloatNonEqual;FP;TP;0.95;762;277;1039;10000
25;daikon.inv.binary.twoScalar.FloatGreaterThan;FP;TP;0.9;757;293;1050;100
26;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.9;747;260;1007;50
27;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.9;736;247;983;100
28;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;0.95;754;239;993;50
29;daikon.inv.binary.sequenceString.MemberString;TP;TP;0.95;911;249;1160;100
30;daikon.inv.binary.sequenceString.MemberString;TP;TP;0.95;898;272;1170;1000
31;daikon.inv.binary.sequenceString.MemberString;TP;FP;1.0;841;271;1112;1000
32;daikon.inv.binary.twoScalar.NumericInt$Divides;FP;FP;0.9;691;228;919;100
33;daikon.inv.binary.twoScalar.NumericInt$Divides;FP;TP;0.9;651;243;894;50
34;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.9;641;301;942;50
35;daikon.inv.binary.twoScalar.NumericInt$Divides;FP;TP;0.9;653;226;879;50
36;daikon.inv.binary.twoScalar.IntLessEqual;FP;TP;0.9;823;258;1081;100
37;daikon.inv.binary.twoScalar.IntLessEqual;FP;TP;0.9;865;302;1167;100
38;daikon.inv.binary.twoScalar.IntLessEqual;FP;TP;0.9;877;277;1154;50
39;daikon.inv.binary.twoScalar.IntLessEqual;FP;TP;0.9;778;245;1023;50
