ID;invariantType;classification;GPT_verdict;confidence;promptTokens;completionTokens;totalTokens;maxNumberOfOperations
0;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;625;428;1053;10000
1;daikon.inv.unary.sequence.EltNonZero;TP;TP;0.95;635;413;1048;10000
2;daikon.inv.unary.scalar.NonZero;TP;TP;0.85;608;419;1027;10000
3;daikon.inv.unary.scalar.NonZeroFloat;FP;TP;0.9;709;430;1139;10000
4;daikon.inv.unary.scalar.NonZeroFloat;FP;TP;0.9;703;422;1125;10000
5;daikon.inv.unary.scalar.OneOfScalar;FP;FP;0.8;669;459;1128;100
6;daikon.inv.unary.scalar.LowerBound;FP;TP;0.85;682;474;1156;10000
7;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;616;392;1008;10000
8;daikon.inv.unary.stringsequence.EltOneOfString;TP;TP;0.95;749;389;1138;10000
9;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;608;375;983;10000
10;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;630;373;1003;10000
11;daikon.inv.unary.scalar.LowerBound;FP;TP;0.95;847;345;1192;100
12;daikon.inv.unary.scalar.LowerBound;FP;TP;0.9;773;385;1158;50
13;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;0.7;733;451;1184;100
14;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;0.8;870;533;1403;10000
15;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;0.7;739;517;1256;10000
16;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;0.95;843;450;1293;10000
17;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;0.9;858;491;1349;50
18;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;0.9;746;562;1308;500
19;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;0.9;737;447;1184;100
20;daikon.inv.binary.twoScalar.FloatNonEqual;FP;TP;0.95;781;377;1158;10000
21;daikon.inv.binary.twoScalar.FloatLessThan;FP;TP;0.95;776;440;1216;50
22;daikon.inv.binary.twoScalar.FloatNonEqual;FP;TP;0.95;761;421;1182;10000
23;daikon.inv.binary.twoScalar.FloatLessThan;FP;FP;0.9;781;439;1220;50
24;daikon.inv.binary.twoScalar.FloatNonEqual;FP;TP;0.95;757;370;1127;10000
25;daikon.inv.binary.twoScalar.FloatGreaterThan;FP;TP;0.95;753;444;1197;100
26;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;0.7;742;510;1252;50
27;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;0.8;736;500;1236;100
28;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;0.85;754;409;1163;50
29;daikon.inv.binary.sequenceString.MemberString;TP;TP;0.95;893;361;1254;100
30;daikon.inv.binary.sequenceString.MemberString;TP;TP;0.95;871;426;1297;1000
31;daikon.inv.binary.sequenceString.MemberString;TP;FP;0.9;833;441;1274;1000
32;daikon.inv.binary.twoScalar.NumericInt$Divides;FP;FP;0.7;685;426;1111;100
33;daikon.inv.binary.twoScalar.NumericInt$Divides;FP;FP;0.7;645;433;1078;50
34;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;0.8;636;491;1127;50
35;daikon.inv.binary.twoScalar.NumericInt$Divides;FP;FP;0.7;647;455;1102;50
36;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;0.9;814;525;1339;100
37;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;0.7;857;575;1432;100
38;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;0.9;875;428;1303;50
39;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;0.7;781;520;1301;50
40;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;0.7;843;501;1344;50
41;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;0.6;938;501;1439;50
42;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;0.6;847;458;1305;10000
43;daikon.inv.unary.scalar.LowerBound;TP;TP;0.95;636;377;1013;10000
44;daikon.inv.unary.scalar.NonZero;TP;TP;0.9;581;464;1045;10000
45;daikon.inv.unary.scalar.NonZero;TP;TP;0.9;593;462;1055;10000
46;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;645;351;996;10000
47;daikon.inv.unary.sequence.EltNonZero;TP;TP;0.95;655;473;1128;10000
48;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;0.9;689;428;1117;100
49;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;0.95;691;450;1141;10000
50;daikon.inv.binary.twoScalar.IntGreaterEqual;TP;TP;0.95;690;533;1223;10000
51;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;0.9;676;453;1129;100
52;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;0.9;710;460;1170;50
53;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.75;712;496;1208;50
54;daikon.inv.binary.twoScalar.IntNonEqual;FP;TP;0.9;696;524;1220;100
55;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;0.8;690;511;1201;50
56;daikon.inv.binary.twoScalar.IntGreaterEqual;TP;TP;0.95;673;440;1113;10000
57;daikon.inv.binary.twoScalar.FloatNonEqual;FP;TP;0.95;748;377;1125;10000
58;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.7;684;500;1184;100
59;daikon.inv.binary.twoScalar.IntLessEqual;FP;FP;0.7;684;515;1199;50
60;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;739;326;1065;10000
61;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;833;435;1268;10000
62;daikon.inv.unary.string.IsUrl;TP;TP;0.95;828;345;1173;10000
63;daikon.inv.unary.string.IsNumeric;FP;FP;0.9;687;415;1102;100
64;daikon.inv.unary.string.IsUrl;TP;TP;0.95;990;383;1373;10000
65;daikon.inv.unary.string.FixedLengthString;TP;TP;0.95;690;370;1060;10000
66;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;0.9;883;487;1370;100
67;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;0.8;744;441;1185;10000
