ID;invariantType;classification;GPT_verdict;confidence;promptTokens;completionTokens;totalTokens;maxNumberOfOperations
0;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;625;356;981;10000
1;daikon.inv.unary.sequence.EltNonZero;TP;TP;0.95;635;341;976;10000
2;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;608;351;959;10000
3;daikon.inv.unary.scalar.NonZeroFloat;FP;TP;0.95;706;347;1053;10000
4;daikon.inv.unary.scalar.NonZeroFloat;FP;TP;0.9;707;426;1133;10000
5;daikon.inv.unary.scalar.OneOfScalar;FP;FP;0.95;669;407;1076;100
6;daikon.inv.unary.scalar.LowerBound;FP;FP;0.85;682;392;1074;10000
7;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;616;318;934;10000
8;daikon.inv.unary.stringsequence.EltOneOfString;TP;TP;0.95;759;301;1060;10000
9;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;608;260;868;10000
10;daikon.inv.unary.scalar.NonZero;TP;TP;0.95;630;342;972;10000
11;daikon.inv.unary.scalar.LowerBound;FP;FP;0.85;839;427;1266;100
12;daikon.inv.unary.scalar.LowerBound;FP;TP;0.9;803;400;1203;50
13;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;0.9;732;414;1146;100
14;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;0.85;853;477;1330;10000
15;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;0.95;755;470;1225;10000
16;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;0.9;832;512;1344;10000
17;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;TP;0.85;861;478;1339;50
18;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;0.85;740;525;1265;500
19;daikon.inv.binary.twoScalar.IntGreaterEqual;FP;FP;0.8;739;436;1175;100
20;daikon.inv.binary.twoScalar.FloatNonEqual;FP;TP;0.95;787;393;1180;10000
21;daikon.inv.binary.twoScalar.FloatLessThan;FP;FP;0.75;783;507;1290;50
22;daikon.inv.binary.twoScalar.FloatNonEqual;FP;TP;0.9;762;439;1201;10000
