ID;invariantType;classification;GPT_verdict;confidence;promptTokens;completionTokens;totalTokens;maxNumberOfOperations
0;daikon.inv.binary.twoScalar.IntEqual;FP;FP;0.9;792;251;1043;10000
1;daikon.inv.binary.twoScalar.IntEqual;FP;TP;0.9;789;311;1100;10000
2;daikon.inv.binary.twoScalar.IntEqual;FP;TP;0.95;771;228;999;10000
3;daikon.inv.binary.twoScalar.IntEqual;FP;TP;0.9;770;278;1048;10000
4;daikon.inv.binary.twoString.StringEqual;FP;TP;0.9;934;242;1176;500
5;daikon.inv.binary.twoString.StringEqual;FP;TP;0.95;956;247;1203;500
6;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.95;810;225;1035;10000
7;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.8;748;326;1074;10000
8;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.9;723;282;1005;10000
9;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.8;780;316;1096;10000
10;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.9;778;243;1021;10000
11;daikon.inv.binary.twoScalar.IntEqual;TP;TP;0.9;801;279;1080;10000
12;daikon.inv.binary.twoScalar.IntEqual;FP;TP;0.9;810;234;1044;50
13;daikon.inv.unary.scalar.OneOfScalar;TP;TP;0.9;647;221;868;10000
14;daikon.inv.unary.string.OneOfString;TP;TP;1.0;745;207;952;10000
15;daikon.inv.unary.scalar.OneOfScalar;TP;TP;0.95;683;237;920;10000
16;daikon.inv.unary.string.OneOfString;TP;TP;1.0;753;231;984;10000
17;daikon.inv.unary.string.OneOfString;TP;TP;0.9;750;250;1000;10000
18;daikon.inv.unary.string.OneOfString;FP;TP;0.9;730;260;990;100
19;daikon.inv.unary.stringsequence.OneOfStringSequence;FP;TP;0.9;1147;247;1394;50
20;daikon.inv.unary.scalar.OneOfScalar;TP;TP;0.9;683;232;915;10000
21;daikon.inv.unary.scalar.OneOfScalar;TP;TP;0.95;821;223;1044;10000
22;daikon.inv.unary.scalar.OneOfScalar;TP;FP;1.0;924;246;1170;10000
23;daikon.inv.unary.string.OneOfString;TP;FP;1.0;697;242;939;10000
24;daikon.inv.unary.scalar.OneOfScalar;TP;FP;0.9;660;234;894;10000
25;daikon.inv.unary.scalar.OneOfScalar;TP;TP;0.9;682;230;912;10000
26;daikon.inv.unary.scalar.OneOfScalar;TP;FP;0.9;664;199;863;10000
