ID;invariantType;classification;GPT_verdict;confidence;promptTokens;completionTokens;totalTokens;maxNumberOfOperations
0;daikon.inv.binary.twoScalar.IntEqual;FP;FP;0.9;785;500;1285;10000
1;daikon.inv.binary.twoScalar.IntEqual;FP;FP;0.95;783;505;1288;10000
2;daikon.inv.binary.twoScalar.IntEqual;FP;FP;0.8;766;431;1197;10000
3;daikon.inv.binary.twoScalar.IntEqual;FP;FP;0.7;767;441;1208;10000
4;daikon.inv.binary.twoString.StringEqual;FP;TP;0.9;913;389;1302;500
5;daikon.inv.binary.twoString.StringEqual;FP;FP;0.8;945;477;1422;500
6;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.7;808;451;1259;10000
7;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.9;742;485;1227;10000
8;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.8;718;430;1148;10000
9;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.8;776;444;1220;10000
10;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.8;773;438;1211;10000
11;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.9;796;450;1246;10000
12;daikon.inv.binary.twoScalar.IntEqual;FP;FP;0.7;803;529;1332;50
13;daikon.inv.unary.scalar.OneOfScalar;TP;TP;0.95;642;383;1025;10000
14;daikon.inv.unary.string.OneOfString;TP;TP;1.0;742;426;1168;10000
15;daikon.inv.unary.scalar.OneOfScalar;TP;TP;0.9;678;411;1089;10000
16;daikon.inv.unary.string.OneOfString;TP;TP;1.0;750;473;1223;10000
17;daikon.inv.unary.string.OneOfString;TP;TP;0.95;747;363;1110;10000
18;daikon.inv.unary.string.OneOfString;FP;FP;0.9;727;377;1104;100
19;daikon.inv.unary.stringsequence.OneOfStringSequence;FP;FP;0.7;1138;471;1609;50
20;daikon.inv.unary.scalar.OneOfScalar;TP;TP;0.9;678;495;1173;10000
21;daikon.inv.unary.scalar.OneOfScalar;TP;FP;0.9;816;518;1334;10000
22;daikon.inv.unary.scalar.OneOfScalar;TP;TP;0.95;919;427;1346;10000
23;daikon.inv.unary.string.OneOfString;TP;FP;0.9;693;338;1031;10000
24;daikon.inv.unary.scalar.OneOfScalar;TP;FP;0.8;656;471;1127;10000
25;daikon.inv.unary.scalar.OneOfScalar;TP;TP;0.8;679;468;1147;10000
26;daikon.inv.unary.scalar.OneOfScalar;TP;FP;0.8;658;433;1091;10000
27;daikon.inv.unary.scalar.OneOfScalar;TP;FP;0.8;683;484;1167;10000
28;daikon.inv.unary.scalar.OneOfScalar;TP;TP;0.95;796;397;1193;10000
29;daikon.inv.unary.scalar.OneOfFloat;TP;FP;0.9;747;495;1242;10000
30;daikon.inv.unary.scalar.OneOfFloat;FP;FP;0.9;763;392;1155;50
31;daikon.inv.unary.scalar.OneOfFloat;FP;FP;0.9;765;448;1213;50
32;daikon.inv.unary.string.OneOfString;FP;FP;0.9;739;401;1140;50
33;daikon.inv.unary.string.OneOfString;FP;FP;0.9;758;458;1216;50
34;daikon.inv.unary.scalar.OneOfScalar;TP;TP;0.95;776;484;1260;10000
35;daikon.inv.unary.scalar.OneOfScalar;TP;TP;0.95;776;439;1215;10000
36;daikon.inv.unary.scalar.OneOfScalar;TP;FP;0.7;776;459;1235;10000
37;daikon.inv.unary.scalar.OneOfScalar;TP;FP;0.7;776;452;1228;10000
38;daikon.inv.unary.scalar.OneOfScalar;TP;TP;0.95;779;445;1224;10000
39;daikon.inv.unary.scalar.OneOfScalar;TP;FP;0.7;781;483;1264;10000
40;daikon.inv.unary.scalar.OneOfScalar;TP;FP;0.7;776;466;1242;10000
41;daikon.inv.unary.scalar.OneOfScalar;TP;FP;0.7;776;471;1247;10000
42;daikon.inv.unary.scalar.OneOfScalar;TP;FP;0.7;776;414;1190;10000
43;daikon.inv.unary.scalar.OneOfScalar;TP;TP;0.9;776;438;1214;10000
44;daikon.inv.unary.string.OneOfString;FP;FP;0.7;730;482;1212;10000
45;daikon.inv.unary.string.OneOfString;TP;TP;1.0;757;329;1086;10000
46;daikon.inv.unary.scalar.OneOfScalar;FP;FP;0.9;713;443;1156;100
47;daikon.inv.unary.string.OneOfString;FP;FP;0.9;752;415;1167;500
48;daikon.inv.unary.string.OneOfString;FP;FP;0.9;753;457;1210;10000
49;daikon.inv.unary.scalar.OneOfScalar;TP;FP;0.8;662;475;1137;10000
50;daikon.inv.unary.scalar.OneOfScalar;TP;FP;0.7;707;452;1159;10000
51;daikon.inv.unary.scalar.OneOfScalar;TP;TP;0.9;812;450;1262;10000
52;daikon.inv.unary.scalar.OneOfScalar;FP;FP;0.7;787;476;1263;50
53;daikon.inv.unary.scalar.LowerBound;TP;TP;0.85;874;446;1320;10000
54;daikon.inv.unary.scalar.LowerBound;TP;TP;0.9;891;421;1312;10000
55;daikon.inv.binary.sequenceString.MemberString;TP;TP;0.95;1028;377;1405;10000
