ID;invariantType;classification;GPT_verdict;confidence;promptTokens;completionTokens;totalTokens;maxNumberOfOperations
0;daikon.inv.binary.twoScalar.IntEqual;FP;FP;0.9;785;404;1189;10000
1;daikon.inv.binary.twoScalar.IntEqual;FP;FP;0.9;783;441;1224;10000
2;daikon.inv.binary.twoScalar.IntEqual;FP;FP;0.9;766;410;1176;10000
3;daikon.inv.binary.twoScalar.IntEqual;FP;FP;0.95;767;446;1213;10000
4;daikon.inv.binary.twoString.StringEqual;FP;FP;0.85;993;446;1439;500
5;daikon.inv.binary.twoString.StringEqual;FP;FP;0.85;937;484;1421;500
6;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.85;808;388;1196;10000
7;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.95;742;370;1112;10000
8;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.9;718;406;1124;10000
9;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.85;776;422;1198;10000
10;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.95;773;390;1163;10000
11;daikon.inv.binary.twoScalar.IntEqual;TP;FP;0.9;796;426;1222;10000
12;daikon.inv.binary.twoScalar.IntEqual;FP;FP;0.85;803;425;1228;50
13;daikon.inv.unary.scalar.OneOfScalar;TP;FP;0.85;642;468;1110;10000
14;daikon.inv.unary.string.OneOfString;TP;TP;0.95;742;305;1047;10000
15;daikon.inv.unary.scalar.OneOfScalar;TP;TP;0.85;678;459;1137;10000
16;daikon.inv.unary.string.OneOfString;TP;TP;0.95;750;285;1035;10000
17;daikon.inv.unary.string.OneOfString;TP;TP;0.95;747;387;1134;10000
18;daikon.inv.unary.string.OneOfString;FP;FP;0.95;727;292;1019;100
19;daikon.inv.unary.stringsequence.OneOfStringSequence;FP;FP;0.85;1138;724;1862;50
20;daikon.inv.unary.scalar.OneOfScalar;TP;FP;0.95;678;457;1135;10000
21;daikon.inv.unary.scalar.OneOfScalar;TP;FP;0.85;816;418;1234;10000
22;daikon.inv.unary.scalar.OneOfScalar;TP;FP;0.9;919;451;1370;10000
23;daikon.inv.unary.string.OneOfString;TP;FP;0.95;693;336;1029;10000
24;daikon.inv.unary.scalar.OneOfScalar;TP;FP;0.85;656;473;1129;10000
25;daikon.inv.unary.scalar.OneOfScalar;TP;FP;0.85;679;444;1123;10000
26;daikon.inv.unary.scalar.OneOfScalar;TP;FP;0.85;658;466;1124;10000
27;daikon.inv.unary.scalar.OneOfScalar;TP;TP;0.9;683;449;1132;10000
28;daikon.inv.unary.scalar.OneOfScalar;TP;TP;0.95;796;255;1051;10000
29;daikon.inv.unary.scalar.OneOfFloat;TP;FP;0.9;747;398;1145;10000
30;daikon.inv.unary.scalar.OneOfFloat;FP;FP;0.95;763;373;1136;50
31;daikon.inv.unary.scalar.OneOfFloat;FP;FP;0.85;765;345;1110;50
32;daikon.inv.unary.string.OneOfString;FP;FP;0.7;739;364;1103;50
33;daikon.inv.unary.string.OneOfString;FP;FP;0.9;758;401;1159;50
34;daikon.inv.unary.scalar.OneOfScalar;TP;FP;0.85;776;420;1196;10000
35;daikon.inv.unary.scalar.OneOfScalar;TP;FP;0.85;776;418;1194;10000
36;daikon.inv.unary.scalar.OneOfScalar;TP;FP;0.8;776;445;1221;10000
37;daikon.inv.unary.scalar.OneOfScalar;TP;FP;0.85;776;432;1208;10000
38;daikon.inv.unary.scalar.OneOfScalar;TP;TP;0.9;779;334;1113;10000
39;daikon.inv.unary.scalar.OneOfScalar;TP;TP;0.85;781;444;1225;10000
40;daikon.inv.unary.scalar.OneOfScalar;TP;FP;0.85;776;438;1214;10000
41;daikon.inv.unary.scalar.OneOfScalar;TP;FP;0.85;776;397;1173;10000
42;daikon.inv.unary.scalar.OneOfScalar;TP;FP;0.85;776;504;1280;10000
43;daikon.inv.unary.scalar.OneOfScalar;TP;FP;0.85;776;389;1165;10000
44;daikon.inv.unary.string.OneOfString;FP;FP;0.85;730;420;1150;10000
45;daikon.inv.unary.string.OneOfString;TP;TP;0.95;757;344;1101;10000
46;daikon.inv.unary.scalar.OneOfScalar;FP;FP;0.85;713;394;1107;100
47;daikon.inv.unary.string.OneOfString;FP;FP;0.95;752;333;1085;500
48;daikon.inv.unary.string.OneOfString;FP;FP;0.95;753;360;1113;10000
49;daikon.inv.unary.scalar.OneOfScalar;TP;FP;0.9;662;457;1119;10000
50;daikon.inv.unary.scalar.OneOfScalar;TP;FP;0.85;707;494;1201;10000
51;daikon.inv.unary.scalar.OneOfScalar;TP;FP;0.9;812;444;1256;10000
52;daikon.inv.unary.scalar.OneOfScalar;FP;FP;0.9;787;525;1312;50
53;daikon.inv.unary.scalar.LowerBound;TP;FP;0.85;852;387;1239;10000
54;daikon.inv.unary.scalar.LowerBound;TP;TP;0.95;858;406;1264;10000
55;daikon.inv.binary.sequenceString.MemberString;TP;FP;0.85;938;481;1419;10000
56;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.9;698;534;1232;50
57;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.9;697;443;1140;50
58;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.95;712;430;1142;50
59;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.9;703;432;1135;50
60;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;0.9;861;506;1367;1000
61;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;0.85;860;460;1320;1000
62;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;0.85;859;618;1477;100
63;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;0.85;860;527;1387;100
64;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;0.85;866;490;1356;100
65;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.85;874;493;1367;10000
66;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;0.7;859;493;1352;1000
67;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;0.85;860;509;1369;100
68;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;0.9;859;453;1312;100
69;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;0.85;859;503;1362;100
70;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;0.85;912;553;1465;10000
71;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;0.85;917;482;1399;10000
72;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;0.95;905;492;1397;10000
73;daikon.inv.binary.twoScalar.IntLessThan;TP;TP;0.95;912;425;1337;10000
74;daikon.inv.binary.twoScalar.IntLessThan;TP;FP;0.9;912;464;1376;10000
75;daikon.inv.binary.twoScalar.IntLessThan;TP;TP;0.85;912;488;1400;10000
76;daikon.inv.binary.twoScalar.IntLessThan;TP;FP;0.75;912;454;1366;10000
77;daikon.inv.binary.twoScalar.IntLessThan;TP;FP;0.7;919;525;1444;10000
78;daikon.inv.binary.twoScalar.IntLessThan;TP;FP;0.85;924;486;1410;10000
79;daikon.inv.binary.twoScalar.IntLessThan;TP;FP;0.85;912;501;1413;10000
80;daikon.inv.binary.twoScalar.IntLessThan;TP;TP;0.85;912;510;1422;10000
81;daikon.inv.binary.twoScalar.IntLessThan;TP;FP;0.9;912;516;1428;10000
82;daikon.inv.binary.twoScalar.IntLessThan;TP;TP;0.95;912;507;1419;10000
83;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;0.85;955;501;1456;100
84;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;0.85;946;449;1395;50
85;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;0.85;871;449;1320;100
86;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;0.9;872;479;1351;100
87;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;0.7;872;462;1334;100
88;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;0.85;871;501;1372;100
89;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.85;880;474;1354;10000
90;daikon.inv.binary.twoScalar.IntNonEqual;FP;FP;0.7;885;469;1354;10000
91;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;0.85;872;490;1362;100
92;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;0.9;871;537;1408;100
93;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;0.9;871;487;1358;100
94;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;0.75;871;496;1367;100
95;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;0.85;985;498;1483;10000
96;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;0.85;926;474;1400;10000
97;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.95;795;474;1269;10000
98;daikon.inv.binary.sequenceString.MemberString;TP;FP;0.7;845;488;1333;100
99;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.95;812;403;1215;100
100;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.95;811;420;1231;100
101;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.95;803;435;1238;100
102;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.95;785;433;1218;100
103;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.9;803;473;1276;100
104;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.95;792;438;1230;100
105;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.95;802;406;1208;1000
106;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.95;801;442;1243;10000
107;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.9;807;456;1263;100
108;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.95;815;471;1286;100
109;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.95;808;446;1254;100
110;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.9;815;463;1278;100
111;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.95;806;465;1271;100
112;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.9;810;412;1222;100
113;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.95;840;480;1320;100
114;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.95;808;449;1257;100
115;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.95;853;472;1325;100
116;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.95;853;427;1280;100
117;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.95;855;395;1250;100
118;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.95;853;429;1282;100
119;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.95;853;442;1295;100
120;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.95;810;463;1273;100
121;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.95;805;395;1200;100
122;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.95;812;404;1216;100
123;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.95;816;403;1219;100
124;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.9;807;465;1272;100
125;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.9;821;460;1281;100
126;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.9;815;493;1308;100
127;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.95;819;470;1289;100
128;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.95;812;461;1273;100
129;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.95;811;442;1253;100
130;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.95;803;393;1196;100
131;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.95;802;456;1258;1000
132;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.95;801;396;1197;1000
133;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.9;806;425;1231;100
134;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.9;821;416;1237;50
135;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.9;815;433;1248;50
136;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.95;819;452;1271;50
137;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.95;744;457;1201;100
138;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.95;743;394;1137;100
139;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.95;735;438;1173;100
140;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.85;733;490;1223;50
141;daikon.inv.binary.sequenceString.MemberString;FP;FP;0.9;732;411;1143;50
142;daikon.inv.binary.twoScalar.IntGreaterThan;TP;FP;0.9;1035;530;1565;10000
143;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;0.85;971;551;1522;100
144;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;0.85;998;549;1547;1000
145;daikon.inv.binary.twoScalar.NumericInt$Divides;FP;FP;0.85;1016;468;1484;100
146;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;0.95;991;454;1445;10000
147;daikon.inv.binary.twoScalar.NumericInt$Divides;FP;FP;0.85;995;448;1443;50
148;daikon.inv.binary.twoScalar.IntGreaterThan;TP;FP;0.85;1012;495;1507;10000
149;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;0.75;971;526;1497;100
150;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;0.85;955;507;1462;10000
151;daikon.inv.binary.twoScalar.NumericInt$Divides;FP;FP;0.9;1011;461;1472;10000
152;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;0.9;1002;449;1451;10000
153;daikon.inv.binary.twoScalar.NumericInt$Divides;FP;FP;0.85;991;525;1516;50
154;daikon.inv.binary.twoScalar.IntGreaterThan;TP;FP;0.7;996;462;1458;10000
155;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;0.85;1030;558;1588;10000
156;daikon.inv.binary.twoScalar.IntGreaterThan;FP;TP;0.95;973;507;1480;10000
157;daikon.inv.binary.twoScalar.NumericInt$Divides;FP;FP;0.9;995;439;1434;10000
158;daikon.inv.binary.twoScalar.IntGreaterThan;FP;FP;0.75;986;651;1637;10000
159;daikon.inv.binary.twoScalar.NumericInt$Divides;FP;FP;0.85;980;501;1481;50
160;daikon.inv.binary.twoScalar.IntGreaterThan;TP;FP;0.85;1006;503;1509;10000
